year,FOD1,wfh,perwt
2022.0,2405,0.16014013234721683,601
2022.0,2406,0.1476741354115928,730
2022.0,2407,0.3555857698271794,845
2022.0,2408,0.21814206079520373,886
2022.0,2409,0.31927093999590417,43
2022.0,2410,0.17413712322348898,128
2022.0,2411,0.18617021276595744,10
2022.0,2412,0.20509203057843106,280
2022.0,2413,0.13609768506741288,41
2022.0,2414,0.16146162349968415,1816
2022.0,2415,0.3482456140350877,11
2022.0,2416,0.18792866941015088,8
2022.0,2417,0.11711464618760285,31
2022.0,2418,0.2433587786259542,31
2022.0,2419,0.044207110990942274,50
2022.0,2499,0.16888204225352113,207
2022.0,2500,0.20176848874598072,129
2022.0,2501,0.2652983656404409,39
2022.0,2502,0.2524233432245302,53
2022.0,2503,0.1085336707437087,57
2022.0,2504,0.106952820148989,102
2022.0,2599,0.180900766211923,143
2022.0,2601,0.1726111441783801,207
2022.0,2602,0.24822098094727982,527
2022.0,2603,0.2474105786493578,149
2022.0,2901,0.11739704297494642,720
2022.0,3202,0.25336055810787816,154
2022.0,3301,0.25591358127673774,1479
2022.0,3302,0.2543802935281567,281
2022.0,3401,0.17587215648604987,570
2022.0,3402,0.15964495561945244,61
2022.0,3501,0.0,4
2022.0,3600,0.12848329362897806,2898
2022.0,3601,0.13280424335480268,457
2022.0,3602,0.04651826484018265,32
2022.0,3603,0.12377597745685101,267
2022.0,3604,0.13276436303080766,239
2022.0,3605,0.07561785319070453,39
2022.0,3606,0.12611457188225236,132
2022.0,3607,0.0,6
2022.0,3608,0.105483046750915,245
2022.0,3609,0.08508628831458745,103
2022.0,3611,0.19536810173842026,320
2022.0,3699,0.12924740874267687,211
2022.0,3700,0.28641011736452726,959
2022.0,3701,0.32560399888919744,141
2022.0,3702,0.43599863382793824,228
2022.0,3801,0.0,4
2022.0,4000,0.15991943605236655,221
2022.0,4001,0.27542426786759283,343
2022.0,4002,0.1668486313655151,228
2022.0,4005,0.5213916314057357,24
2022.0,4006,0.2682952511319364,96
2022.0,4007,0.14343544196725275,159
2022.0,4101,0.12592808800189723,1835
2022.0,4801,0.24616769978220807,460
2022.0,4901,0.09406574640671694,348
2022.0,5000,0.0,8
2022.0,5001,0.09747835905156191,46
2022.0,5002,0.14156378600823044,45
2022.0,5003,0.08710141752980567,612
2022.0,5004,0.13978851184554733,229
2022.0,5005,0.12953657174762703,35
2022.0,5006,0.03484978540772532,57
2022.0,5007,0.19644651390760937,378
2022.0,5008,0.29089100468949836,66
