acs_code,acs_title,eloundou_mean,handa_mean,handa_auto_mean,eisfeldt_mean,occ_top5_mean,eloundou_std,handa_std,handa_auto_std,eisfeldt_std
2603,Other Foreign Languages,0.4514906190566807,0.19549109485094854,0.37067093408000074,0.28120344459902136,0.2466328437917223,0.27948775277724325,0.4011508245644297,0.51309501,0.18894024413198734
2901,Family and Consumer Sciences,0.3763212007619501,0.14197938645560415,0.3607158452564534,0.219634593,0.13865473535585882,-0.7934289,-0.539600425,0.39100702711231455,-0.740009897
3202,Pre-Law and Legal Studies,0.44765180282141176,0.2126644160396507,0.3853638511566439,0.29665938545041937,0.21062633102167858,0.22469512623241103,0.7030627585697022,0.6932871351344475,0.4221393065409738
3301,English Language and Literature,0.4473918009020266,0.19945859217949632,0.36824940557318986,0.2801849086570709,0.256957285,0.22098403739754496,0.47090057060718327,0.4833976827927707,0.1735725852507608
3302,Composition and Speech,0.45532945508672873,0.19815932283343926,0.3629701646154432,0.2828589973453953,0.2702739250836356,0.33428066185915767,0.44805904119353007,0.4186537220259405,0.21391920542169174
3401,Liberal Arts,0.3850072404042954,0.15236116266511196,0.3559135243762396,0.23035685613439716,0.1634962220450317,-0.669450335,-0.357085809,0.33211195542553124,-0.578232513
3402,Humanities,0.3978007196900716,0.1553710396726232,0.3544321208582673,0.23921514316728118,0.19159065985502982,-0.486844998,-0.304171304,0.313944205,-0.444578777
3600,Biology,0.39814108608141613,0.14857409830785617,0.3274808599691568,0.23466515975096874,0.16416347365163225,-0.481986842,-0.423663491,-0.016582738,-0.513228876
3601,Biochemical Sciences,0.4201913087688784,0.14524393926541015,0.366787912,0.2557437596963711,0.13550695,-0.167257107,-0.482208646,0.46547410739388745,-0.195195196
3603,Molecular Biology,0.4251263408901124,0.13840059161473087,0.34946721481153514,0.25943552050368096,0.1368333522856493,-0.096817847,-0.60251667,0.25305520903178325,-0.139493951
3604,Ecology,0.370524543,0.11642583655590519,0.31848103420208296,0.21677159543515068,0.095905701,-0.876166405,-0.988839194,-0.126955493,-0.783206774
3605,Genetics,0.40600661900903184,0.12545347545172436,0.34625175935766483,0.23485815666047646,0.094120961,-0.369719627,-0.830130702,0.21362125945094676,-0.510316941
3606,Microbiology and Immunology,0.41232195487485596,0.1433725867297582,0.3481775754936245,0.24857983131681954,0.15492586738917738,-0.27957886,-0.515107563,0.23723923130497623,-0.303284468
3608,Physiology,0.38023999470703584,0.14599145832624744,0.29005491224798907,0.21864346986510586,0.1432313058799719,-0.737494726,-0.469067046,-0.475569951,-0.754963954
3609,Zoology,0.3480585298897315,0.1034626703662919,0.28541535200707513,0.19873266315928317,0.11015233616194663,-1.196830854,-1.216735391,-0.532468946,-1.055377982
3611,Neuroscience,0.4291326155856396,0.14783615661023533,0.3316474932283284,0.25863183454215116,0.16015543640615795,-0.039635034,-0.436636719,0.034516338710658144,-0.151619956
3699,Miscellaneous Biology,0.4031803403565469,0.1308021922850372,0.3267889638557258,0.23978459558099097,0.13412512083966302,-0.410059987,-0.736098719,-0.025068067,-0.435986886
3700,Mathematics,0.508219697,0.2129691362577778,0.3648500596584301,0.33364801934104155,0.32667857498030156,1.0891996441797458,0.7084198277920369,0.4417085232526784,0.9802234
3701,Applied Mathematics,0.5536507289418022,0.24810346018238022,0.3733975801770433,0.3726253959347279,0.3825944419991804,1.7376510004176522,1.3260913643276018,0.546534262,1.5683136216613387
3702,Statistics,0.5448406292590394,0.2530742814647994,0.37390636172160724,0.3745401713384768,0.39301804017233577,1.6119016880891999,1.413479834529687,0.552773896,1.5972037315013776
4001,Intercultural and International Studies,0.438669953,0.19119235402621096,0.36432377336536825,0.2801591855500091,0.21460180371028603,0.096494371,0.32557772242983757,0.4352542129867079,0.17318447529959527
4002,Nutrition Sciences,0.39314316871633903,0.1371869893230556,0.2955075868269838,0.20989329487333305,0.11089944668075769,-0.553323682,-0.623852148,-0.408699021,-0.886986496
4007,Interdisciplinary Social Sciences,0.40670208016791864,0.157969005,0.3511911598704171,0.24777492509783422,0.14874364722709704,-0.359793092,-0.258498326,0.274197459,-0.315428884
4101,"Physical Fitness, Parks, Recreation, and Leisure",0.35271166170905977,0.131207458,0.30180927784830003,0.2051711996425167,0.1444154822723666,-1.130415246,-0.728974028,-0.331415859,-0.958233416
4801,Philosophy and Religious Studies,0.4238345409351579,0.17047979914936234,0.34872998462744714,0.2630472873524145,0.1943181608686835,-0.115256113,-0.038554959,0.2440139088720176,-0.084999653
5002,Atmospheric Sciences and Meteorology,0.4658701681703815,0.11530938766532126,0.36933910503320233,0.3046086093425935,0.1464306330575332,0.4847315613324302,-1.008466688,0.49676162273249963,0.5420771075688837
5003,Chemistry,0.41772470547473683,0.14474502639911055,0.3582280539939521,0.2606107495551724,0.12203314986831522,-0.202463708,-0.490979678,0.36049706153495303,-0.121762108
5004,Geology and Earth Science,0.42588576227326586,0.1288457004193477,0.3605531578832413,0.2622681820545885,0.13311023566456276,-0.085978388,-0.77049441,0.38901184920836895,-0.096754785
5007,Physics,0.4915646365151289,0.17425667614440943,0.36596053551599617,0.31235593093595104,0.24931197241070255,0.8514767562044956,0.027843626223171873,0.45532726237260246,0.658968609
5098,Multi-disciplinary or General Science,0.3956347297192533,0.14945320683313423,0.3081026880942356,0.22953218100318598,0.16967800066391617,-0.517760851,-0.40820851,-0.254234251,-0.590675202
